                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.97471,                 0.4734,                 1.0199,                0.94864,                0.92804,                 0.9654,                0.66129,                 1.1855,                0.44133,                 1.0994,               0.001387,               0.001387,               0.001387
                     90,                0.97468,                0.47493,                 1.0212,                0.94844,                0.92776,                0.96539,                0.66132,                 1.1855,                0.44122,                 1.0993,               0.001288,               0.001288,               0.001288
                     91,                0.94271,                0.39908,                 1.0147,                0.94559,                0.93101,                0.96532,                0.66132,                 1.1853,                0.44141,                 1.0994,               0.001189,               0.001189,               0.001189
                     92,                0.92841,                0.39127,                 1.0078,                0.94755,                0.92913,                0.96534,                0.66137,                 1.1854,                0.44162,                 1.0996,                0.00109,                0.00109,                0.00109
                     93,                0.92428,                0.38729,                 1.0057,                0.94656,                0.93091,                0.96529,                0.66113,                 1.1857,                0.44189,                 1.0996,               0.000991,               0.000991,               0.000991
                     94,                0.91667,                0.38417,                 1.0025,                0.94548,                0.93054,                0.96535,                0.66123,                 1.1859,                0.44218,                 1.0998,               0.000892,               0.000892,               0.000892
                     95,                0.91414,                0.38324,                 1.0002,                0.94624,                0.93013,                0.96526,                0.66137,                 1.1863,                  0.442,                    1.1,               0.000793,               0.000793,               0.000793
                     96,                0.91104,                0.38254,                0.99928,                 0.9496,                0.92637,                0.96542,                0.66156,                 1.1865,                0.44208,                 1.1001,               0.000694,               0.000694,               0.000694
                     97,                 0.9014,                0.37744,                0.99748,                 0.9492,                0.92681,                0.96552,                0.66139,                 1.1871,                0.44248,                 1.1004,               0.000595,               0.000595,               0.000595
                     98,                 0.8969,                0.37378,                0.99308,                0.94984,                0.92665,                0.96561,                0.66173,                 1.1873,                0.44258,                 1.1007,               0.000496,               0.000496,               0.000496
                     99,                0.89263,                 0.3732,                0.99049,                0.94873,                0.92688,                0.96575,                0.66246,                 1.1876,                0.44291,                 1.1009,               0.000397,               0.000397,               0.000397
                    100,                0.88669,                0.37139,                0.98748,                0.94807,                0.92683,                0.96572,                0.66227,                 1.1878,                0.44303,                  1.101,               0.000298,               0.000298,               0.000298
